Node_x Node_y             X                    Y                    Z
  9   1      1.2724005758E+02    -5.4269808751E-01    -5.8711383090E+02
  9   2      1.2724005758E+02     1.4457301912E+01    -5.8710790023E+02
  9   3      1.2724005758E+02     2.9457301912E+01    -5.8710945674E+02
  9   4      1.2724005758E+02     4.4457301912E+01    -5.8710425858E+02
  9   5      1.2724005758E+02     5.9457301912E+01    -5.8709790936E+02
  9   6      1.2724005758E+02     7.4457301912E+01    -5.8709170103E+02
  9   7      1.2724005758E+02     8.9457301912E+01    -5.8708753388E+02
  9   8      1.2724005758E+02     1.0445730191E+02    -5.8710602008E+02
  9   9      1.2724005758E+02     1.1945730191E+02    -5.8710879705E+02
  9  10      1.2724005758E+02     1.3445730191E+02    -5.8711324149E+02
  9  11      1.2724005758E+02     1.4945730191E+02    -5.8711662231E+02
  9  12      1.2724005758E+02     1.6445730191E+02    -5.8711870979E+02
  9  13      1.2724005758E+02     1.7945730191E+02    -5.8712234606E+02
  9  14      1.2724005758E+02     1.9445730191E+02    -5.8711823144E+02
  9  15      1.2724005758E+02     2.0945730191E+02    -5.8711851179E+02
  9  16      1.2724005758E+02     2.2445730191E+02    -5.8711099683E+02
  9  17      1.2724005758E+02     2.3945730191E+02    -5.8710787232E+02
  9  18      1.2724005758E+02     2.5445730191E+02    -5.8710534564E+02
  9  19      1.2724005758E+02     2.6945730191E+02    -5.8710499543E+02
  9  20      1.2724005758E+02     2.8445730191E+02    -5.8710538430E+02
  9  21      1.2724005758E+02     2.9945730191E+02    -5.8710827492E+02
  9  22      1.2724005758E+02     3.1445730191E+02    -5.8711243148E+02
  9  23      1.2724005758E+02     3.2945730191E+02    -5.8711625089E+02
  9  24      1.2724005758E+02     3.4445730191E+02    -5.8711872029E+02
  9  25      1.2724005758E+02     3.5945730191E+02    -5.8712233034E+02
 10   1      1.4224005758E+02    -5.4269808751E-01    -5.8711306062E+02
 10   2      1.4224005758E+02     1.4457301912E+01    -5.8711253666E+02
 10   3      1.4224005758E+02     2.9457301912E+01    -5.8710870605E+02
 10   4      1.4224005758E+02     4.4457301912E+01    -5.8710350956E+02
 10   5      1.4224005758E+02     5.9457301912E+01    -5.8709716181E+02
 10   6      1.4224005758E+02     7.4457301912E+01    -5.8709096693E+02
 10   7      1.4224005758E+02     8.9457301912E+01    -5.8708682610E+02
 10   8      1.4224005758E+02     1.0445730191E+02    -5.8710406535E+02
